16	0.00981573	0.03546249
32	0.014197734	0.067828127
64	0.018074173	0.113038517
128	0.064948617	0.083685299
256	0.096051897	0.373723192
512	0.129288105	0.733223376
1024	0.436038158	1.178641648
2048	0.701468376	1.822197351
4096	1.143040389	2.586691393
8192	1.859412967	6.887942013
16384	2.618945621	8.67580507
32768	3.797775801	11.170559698
65536	3.708284564	13.242703351
131072	5.171060878	15.738681123
262144	8.472958287	3.254957485
524288	8.14161332	3.712531446
1048576	10.17008681	4.031401472
2097152	9.876185939	4.563368438
4194304	9.547872169	4.486364627
8388608	10.375917602	3.918657528
16777216	9.718872425	3.81085659
33554432	10.408475977	3.762323978
67108864	9.702390925	3.811167022
134217728	9.74213169	3.838268556
268435456	10.100892672	3.784969162
536870912	10.262586893	3.783144724
